"ROUTE_ID","STOP_ID","SCHEDULED","REAL_TIME","DELAY"
"E","TCRE01","2012-10-01 09:07:05 AM","2012-10-01 09:05:46 AM","-1.32"
"E","MGRE01","2012-10-01 09:07:50 AM","2012-10-01 09:06:12 AM","-1.63"
"E","CRIG01","2012-10-01 09:09:00 AM","2012-10-01 09:06:52 AM","-2.13"
"E","PLGE03","2012-10-01 09:10:03 AM","2012-10-01 09:09:08 AM","-0.92"
"E","AUBI00","2012-10-01 09:14:32 AM","2012-10-01 09:11:45 AM","-2.78"
"E","VOLL00","2012-10-01 09:15:22 AM","2012-10-01 09:12:58 AM","-2.4"
"E","PLEV00","2012-10-01 09:17:46 AM","2012-10-01 09:18:53 AM","1.12"
"E","RIVE04","2012-10-01 09:18:43 AM","2012-10-01 09:19:46 AM","1.05"
"E","RIVE03","2012-10-01 09:33:00 AM","2012-10-01 09:32:36 AM","-0.4"
"E","VOLL02","2012-10-01 09:34:41 AM","2012-10-01 09:35:31 AM","0.83"
"E","PLGE01","2012-10-01 09:38:00 AM","2012-10-01 09:37:47 AM","-0.22"
"E","CRIG00","2012-10-01 09:39:09 AM","2012-10-01 09:39:11 AM","0.03"
"E","MGRE00","2012-10-01 09:40:16 AM","2012-10-01 09:39:55 AM","-0.35"
"E","TCRE00","2012-10-01 09:41:03 AM","2012-10-01 09:40:23 AM","-0.67"
"E","RUTH00","2012-10-01 09:41:39 AM","2012-10-01 09:40:46 AM","-0.88"
"E","BOIS00","2012-10-01 09:42:58 AM","2012-10-01 09:42:16 AM","-0.7"
"E","BLTE00","2012-10-01 09:43:35 AM","2012-10-01 09:42:55 AM","-0.67"
"E","VSNA00","2012-10-01 09:44:20 AM","2012-10-01 09:44:05 AM","-0.25"
"E","BISE00","2012-10-01 09:46:13 AM","2012-10-01 09:46:30 AM","0.28"
"E","BOCA00","2012-10-01 09:48:00 AM","2012-10-01 09:47:44 AM","-0.27"
"E","BELL00","2012-10-01 09:49:05 AM","2012-10-01 09:48:45 AM","-0.33"
"E","CLGE00","2012-10-01 09:50:00 AM","2012-10-01 09:49:44 AM","-0.27"
"E","RSMA00","2012-10-01 09:50:50 AM","2012-10-01 09:50:26 AM","-0.4"
"E","SVON00","2012-10-01 09:51:16 AM","2012-10-01 09:50:59 AM","-0.28"
"E","GAIU00","2012-10-01 09:51:54 AM","2012-10-01 09:51:52 AM","-0.03"
"E","CIPO00","2012-10-01 09:53:00 AM","2012-10-01 09:52:58 AM","-0.03"
"E","PPAL00","2012-10-01 09:53:40 AM","2012-10-01 09:53:32 AM","-0.13"
"E","NAIS00","2012-10-01 09:54:42 AM","2012-10-01 09:54:25 AM","-0.28"
"E","MARG00","2012-10-01 09:55:16 AM","2012-10-01 09:55:13 AM","-0.05"
"E","ANRS00","2012-10-01 09:56:20 AM","2012-10-01 09:56:18 AM","-0.03"
"E","CRBS00","2012-10-01 09:57:23 AM","2012-10-01 09:57:07 AM","-0.27"
"E","CHVA00","2012-10-01 09:57:59 AM","2012-10-01 09:57:41 AM","-0.3"
"E","SSCH00","2012-10-01 09:58:53 AM","2012-10-01 09:58:47 AM","-0.1"
"E","GRAV00","2012-10-01 09:59:26 AM","2012-10-01 09:59:21 AM","-0.08"
"E","VLLA00","2012-10-01 10:00:28 AM","2012-10-01 10:00:30 AM","0.03"
"E","TRIZ00","2012-10-01 10:01:15 AM","2012-10-01 10:01:12 AM","-0.05"
"E","HERM00","2012-10-01 10:02:20 AM","2012-10-01 10:02:03 AM","-0.28"
"E","HERM00","2012-10-01 10:07:00 AM","2012-10-01 10:07:46 AM","0.77"
"E","TRIZ01","2012-10-01 10:08:14 AM","2012-10-01 10:09:03 AM","0.82"
"E","VLLA01","2012-10-01 10:09:16 AM","2012-10-01 10:09:41 AM","0.42"
"E","GRAV01","2012-10-01 10:10:17 AM","2012-10-01 10:10:36 AM","0.32"
"E","SSCH01","2012-10-01 10:10:57 AM","2012-10-01 10:11:22 AM","0.42"
"E","CHVA01","2012-10-01 10:12:15 AM","2012-10-01 10:12:19 AM","0.07"
"E","CRBS01","2012-10-01 10:12:55 AM","2012-10-01 10:13:14 AM","0.32"
"E","ANRS01","2012-10-01 10:14:00 AM","2012-10-01 10:14:32 AM","0.53"
"E","MARG01","2012-10-01 10:15:02 AM","2012-10-01 10:15:40 AM","0.63"
"E","NAIS01","2012-10-01 10:15:35 AM","2012-10-01 10:16:09 AM","0.57"
"E","PPAL01","2012-10-01 10:16:39 AM","2012-10-01 10:17:05 AM","0.43"
"E","CIPO01","2012-10-01 10:17:20 AM","2012-10-01 10:18:04 AM","0.73"
"E","GAIU01","2012-10-01 10:18:28 AM","2012-10-01 10:19:07 AM","0.65"
"E","SVON01","2012-10-01 10:19:20 AM","2012-10-01 10:20:06 AM","0.77"
